flight_id,airline,source,destination,departure_time,arrival_time,duration,row_ref,reason_codes,hard_reasons,is_valid,validation_status,airline_quality_flag,route,arrival_time_adjusted,duration_minutes,is_overnight,duration_status,anomaly_flag,flight_key,airline_key,route_key,date_key
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,31,[],[],True,VALID,OK,BOM -> CCU,2026-04-21 01:02:41.701,206.0,True,VALID,NORMAL,FK00032,AL005,RT005,20260420
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,32,[],[],True,VALID,OK,HYD -> MAA,2026-04-20 23:20:42.000,120.00496666666666,False,VALID,NORMAL,FK00033,AL003,RT022,20260420
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,33,[],[],True,VALID,OK,BLR -> BOM,2026-04-21 00:32:41.703,207.0,True,VALID,NORMAL,FK00034,AL002,RT001,20260420
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,34,[],[],True,VALID,OK,CCU -> DEL,2026-04-20 22:45:41.703,111.0,False,VALID,NORMAL,FK00035,AL005,RT010,20260420
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,35,[],[],True,VALID,OK,BOM -> MAA,2026-04-20 22:10:41.703,76.0,False,VALID,NORMAL,FK00036,AL003,RT008,20260420
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,36,[],[],True,VALID,OK,HYD -> BOM,2026-04-20 21:21:41.701,37.0,False,VALID,NORMAL,FK00037,AL003,RT019,20260420
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,37,[],[],True,VALID,OK,HYD -> BOM,2026-04-21 01:19:41.703,278.0,True,VALID,NORMAL,FK00038,AL001,RT019,20260420
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,38,[],[],True,VALID,OK,DEL -> CCU,2026-04-20 22:00:41.702,83.0,False,VALID,NORMAL,FK00039,AL003,RT015,20260420
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,39,[],[],True,VALID,OK,BOM -> DEL,2026-04-20 23:54:41.704,199.0,False,VALID,NORMAL,FK00040,AL002,RT006,20260420
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,40,[],[],True,VALID,OK,HYD -> MAA,2026-04-20 22:10:41.701,97.0,False,VALID,NORMAL,FK00041,AL005,RT022,20260420
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,41,[],[],True,VALID,OK,BOM -> MAA,2026-04-21 01:15:41.700,287.0,True,VALID,NORMAL,FK00042,AL003,RT008,20260420
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,42,[],[],True,VALID,OK,CCU -> DEL,2026-04-21 00:26:41.701,240.0,True,VALID,NORMAL,FK00043,AL003,RT010,20260420
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,43,[],[],True,VALID,OK,MAA -> HYD,2026-04-20 21:00:41.702,37.0,False,VALID,NORMAL,FK00044,AL002,RT027,20260420
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,44,[],[],True,VALID,OK,BOM -> DEL,2026-04-20 21:57:41.703,98.0,False,VALID,NORMAL,FK00045,AL001,RT006,20260420
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,45,[],[],True,VALID,OK,CCU -> HYD,2026-04-20 23:02:41.703,166.0,False,VALID,NORMAL,FK00046,AL001,RT011,20260420
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,46,[],[],True,VALID,OK,BOM -> MAA,2026-04-20 21:00:41.702,50.0,False,VALID,NORMAL,FK00047,AL002,RT008,20260420
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,47,[],[],True,VALID,OK,DEL -> HYD,2026-04-20 23:39:41.703,210.0,False,VALID,NORMAL,FK00048,AL003,RT016,20260420
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,48,[],[],True,VALID,OK,DEL -> MAA,2026-04-21 00:36:41.703,274.0,True,VALID,NORMAL,FK00049,AL002,RT017,20260420
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,49,[],[],True,VALID,OK,MAA -> CCU,2026-04-20 20:32:41.701,42.0,False,VALID,NORMAL,FK00050,AL003,RT025,20260420
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,50,[],[],True,VALID,OK,HYD -> CCU,2026-04-20 21:49:41.701,120.0,False,VALID,NORMAL,FK00051,AL002,RT020,20260420
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00,51,[],[],True,VALID,OK,CCU -> BLR,2026-04-21 00:12:41.701,264.0,True,VALID,NORMAL,FK00052,AL005,RT009,20260420
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00,52,[],[],True,VALID,OK,MAA -> BLR,2026-04-20 20:30:41.703,45.0,False,VALID,NORMAL,FK00053,AL003,RT023,20260420
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00,53,[],[],True,VALID,OK,CCU -> HYD,2026-04-20 22:04:41.703,140.0,False,VALID,NORMAL,FK00054,AL002,RT011,20260420
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00,54,[],[],True,VALID,OK,MAA -> BLR,2026-04-20 21:00:41.703,83.0,False,VALID,NORMAL,FK00055,AL005,RT023,20260420
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00,55,[],[],True,VALID,OK,MAA -> BLR,2026-04-21 00:26:41.702,289.0,True,VALID,NORMAL,FK00056,AL001,RT023,20260420
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00,56,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 21:41:41.702,129.0,False,VALID,NORMAL,FK00057,AL001,RT001,20260420
UK209,Unknown,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00,57,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,MAA -> BLR,2026-04-20 21:47:41.704,165.0,False,VALID,ANOMALY,FK00058,AL004,RT023,20260420
SJ043,Unknown,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00,58,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,MAA -> DEL,2026-04-20 21:08:41.701,129.0,False,VALID,ANOMALY,FK00059,AL004,RT026,20260420
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00,59,[],[],True,VALID,OK,HYD -> BLR,2026-04-20 22:49:41.703,248.0,False,VALID,NORMAL,FK00060,AL005,RT018,20260420
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00,60,[],[],True,VALID,OK,MAA -> HYD,2026-04-20 21:47:41.704,194.0,False,VALID,NORMAL,FK00061,AL005,RT027,20260420
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,00:30:00,61,[],[],True,VALID,OK,DEL -> CCU,2026-04-20 19:01:41.703,30.0,False,VALID,NORMAL,FK00062,AL005,RT015,20260420
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00,62,[],[],True,VALID,OK,BOM -> HYD,2026-04-20 20:41:41.703,131.0,False,VALID,NORMAL,FK00063,AL005,RT007,20260420
6F270,Unknown,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,00:48:00,63,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,HYD -> MAA,2026-04-20 19:02:41.701,48.0,False,VALID,ANOMALY,FK00064,AL004,RT022,20260420
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00,64,[],[],True,VALID,OK,CCU -> HYD,2026-04-20 21:31:41.701,205.0,False,VALID,NORMAL,FK00065,AL002,RT011,20260420
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00,65,[],[],True,VALID,OK,MAA -> BOM,2026-04-20 22:02:41.704,239.0,False,VALID,NORMAL,FK00066,AL003,RT024,20260420
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00,66,[],[],True,VALID,OK,BLR -> CCU,2026-04-20 20:42:41.703,165.0,False,VALID,NORMAL,FK00067,AL002,RT002,20260420
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,00:34:00,67,[],[],True,VALID,OK,BOM -> CCU,2026-04-20 18:30:41.700,34.0,False,VALID,NORMAL,FK00068,AL005,RT005,20260420
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00,68,[],[],True,VALID,OK,MAA -> HYD,2026-04-20 20:40:41.701,167.0,False,VALID,NORMAL,FK00069,AL005,RT027,20260420
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,02:12:00,69,[],[],True,VALID,OK,BOM -> DEL,2026-04-20 19:50:41.704,132.0,False,VALID,NORMAL,FK00070,AL005,RT006,20260420
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,01:29:00,70,[],[],True,VALID,OK,HYD -> CCU,2026-04-20 19:02:41.702,89.0,False,VALID,NORMAL,FK00071,AL003,RT020,20260420
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,01:42:00,71,[],[],True,VALID,OK,HYD -> MAA,2026-04-20 19:09:41.701,102.0,False,VALID,NORMAL,FK00072,AL003,RT022,20260420
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,02:49:00,72,[],[],True,VALID,OK,BOM -> CCU,2026-04-20 20:13:41.703,169.0,False,VALID,NORMAL,FK00073,AL005,RT005,20260420
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,01:47:00,73,[],[],True,VALID,OK,CCU -> HYD,2026-04-20 19:08:41.703,107.0,False,VALID,NORMAL,FK00074,AL003,RT011,20260420
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,01:26:00,74,[],[],True,VALID,OK,BOM -> HYD,2026-04-20 18:43:41.701,86.0,False,VALID,NORMAL,FK00075,AL002,RT007,20260420
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00,75,[],[],True,VALID,OK,MAA -> BLR,2026-04-20 21:22:41.703,256.0,False,VALID,NORMAL,FK00076,AL005,RT023,20260420
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,01:49:00,76,[],[],True,VALID,OK,BOM -> BLR,2026-04-20 18:53:41.702,109.0,False,VALID,NORMAL,FK00077,AL003,RT004,20260420
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00,77,[],[],True,VALID,OK,CCU -> HYD,2026-04-20 20:53:41.703,241.0,False,VALID,NORMAL,FK00078,AL005,RT011,20260420
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,01:50:00,78,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 18:42:41.703,110.0,False,VALID,NORMAL,FK00079,AL005,RT001,20260420
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,02:43:00,79,[],[],True,VALID,OK,HYD -> DEL,2026-04-20 19:31:41.701,163.0,False,VALID,NORMAL,FK00080,AL005,RT021,20260420
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,02:42:00,80,[],[],True,VALID,OK,MAA -> DEL,2026-04-20 19:26:41.703,162.0,False,VALID,NORMAL,FK00081,AL005,RT026,20260420
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,01:57:00,81,[],[],True,VALID,OK,BOM -> DEL,2026-04-20 18:41:41.702,117.0,False,VALID,NORMAL,FK00082,AL005,RT006,20260420
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,02:04:00,82,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 18:48:41.701,124.0,False,VALID,NORMAL,FK00083,AL003,RT001,20260420
AI242,Unknown,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,83,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,BLR -> CCU,2026-04-20 17:43:41.704,62.0,False,VALID,ANOMALY,FK00084,AL004,RT002,20260420
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,02:28:00,85,[],[],True,VALID,OK,BOM -> CCU,2026-04-20 19:00:41.704,148.0,False,VALID,NORMAL,FK00085,AL003,RT005,20260420
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,01:58:00,86,[],[],True,VALID,OK,BOM -> CCU,2026-04-20 18:27:41.703,118.0,False,VALID,NORMAL,FK00086,AL002,RT005,20260420
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,01:12:00,87,[],[],True,VALID,OK,DEL -> BOM,2026-04-20 17:41:41.701,72.0,False,VALID,NORMAL,FK00087,AL005,RT014,20260420
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,01:41:00,88,[],[],True,VALID,OK,BLR -> MAA,2026-04-20 18:09:41.701,101.0,False,VALID,NORMAL,FK00088,AL005,RT003,20260420
UK224,Unknown,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00,89,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,CCU -> MAA,2026-04-20 20:24:41.704,239.0,False,VALID,ANOMALY,FK00089,AL004,RT012,20260420
UK077,Unknown,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,01:38:00,90,[],[],True,VALID,IMPUTED_UNKNOWN_AIRLINE,HYD -> BOM,2026-04-20 18:00:41.702,98.0,False,VALID,ANOMALY,FK00090,AL004,RT019,20260420
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,01:15:00,91,[],[],True,VALID,OK,MAA -> CCU,2026-04-20 17:36:41.703,75.0,False,VALID,NORMAL,FK00091,AL005,RT025,20260420
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,02:36:00,92,[],[],True,VALID,OK,MAA -> HYD,2026-04-20 18:54:41.703,156.0,False,VALID,NORMAL,FK00092,AL001,RT027,20260420
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,01:00:00.298000,93,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 17:06:42.000,60.00496666666666,False,VALID,NORMAL,FK00093,AL005,RT001,20260420
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,04:12:00,94,[],[],True,VALID,OK,BOM -> HYD,2026-04-20 19:50:41.702,252.0,False,VALID,NORMAL,FK00094,AL005,RT007,20260420
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,00:58:00,95,[],[],True,VALID,OK,BLR -> CCU,2026-04-20 16:32:41.702,58.0,False,VALID,NORMAL,FK00095,AL001,RT002,20260420
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,04:06:00,96,[],[],True,VALID,OK,BOM -> DEL,2026-04-20 19:39:41.702,246.0,False,VALID,NORMAL,FK00096,AL005,RT006,20260420
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,03:30:00,97,[],[],True,VALID,OK,BOM -> HYD,2026-04-20 19:03:41.702,210.0,False,VALID,NORMAL,FK00097,AL003,RT007,20260420
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,01:17:00,98,[],[],True,VALID,OK,BLR -> BOM,2026-04-20 16:49:41.702,77.0,False,VALID,NORMAL,FK00098,AL002,RT001,20260420
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,01:46:00,99,[],[],True,VALID,OK,DEL -> HYD,2026-04-20 17:12:41.702,106.0,False,VALID,NORMAL,FK00099,AL002,RT016,20260420
