flight_id,airline,source,destination,departure_time,arrival_time,duration,row_ref,reason_codes,is_valid,validation_status,hard_reasons,route_to_quarantine,airline_quality_flag,route,arrival_time_adjusted,duration_minutes,is_overnight,duration_status,anomaly_flag,flight_key
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,10,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-21 01:17:41.702,148.0,True,VALID,NORMAL,FK00011
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,11,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 03:13:42.000,267.0,True,VALID,NORMAL,FK00012
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,12,[],True,VALID,[],False,OK,DEL -> MAA,2026-04-21 01:46:41.703,181.0,True,VALID,NORMAL,FK00013
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,13,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 01:05:41.701,141.0,True,VALID,NORMAL,FK00014
AI069,Unknown,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,14,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,DEL -> BOM,2026-04-21 02:29:41.702,226.0,True,VALID,ANOMALY,FK00015
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,15,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 00:18:41.701,98.0,True,VALID,NORMAL,FK00016
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,16,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-21 02:08:41.702,223.0,True,VALID,NORMAL,FK00017
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,17,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 00:10:41.704,106.0,True,VALID,NORMAL,FK00018
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,18,[],True,VALID,[],False,OK,MAA -> DEL,2026-04-20 22:59:41.702,35.0,False,VALID,NORMAL,FK00019
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,19,[],True,VALID,[],False,OK,CCU -> DEL,2026-04-21 02:15:41.701,232.0,True,VALID,NORMAL,FK00020
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,20,[],True,VALID,[],False,OK,HYD -> DEL,2026-04-21 00:40:41.702,140.0,True,VALID,NORMAL,FK00021
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,21,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-21 00:45:41.703,147.0,True,VALID,NORMAL,FK00022
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,22,[],True,VALID,[],False,OK,HYD -> MAA,2026-04-20 23:50:41.701,110.0,False,VALID,NORMAL,FK00023
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,23,[],True,VALID,[],False,OK,CCU -> DEL,2026-04-21 01:14:41.703,196.0,True,VALID,NORMAL,FK00024
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,24,[],True,VALID,[],False,OK,DEL -> HYD,2026-04-20 23:51:41.701,113.0,False,VALID,NORMAL,FK00025
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,25,[],True,VALID,[],False,OK,HYD -> CCU,2026-04-20 23:00:41.703,64.0,False,VALID,NORMAL,FK00026
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,26,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 23:01:41.702,66.0,False,VALID,NORMAL,FK00027
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,27,[],True,VALID,[],False,OK,CCU -> DEL,2026-04-20 22:39:41.703,55.0,False,VALID,NORMAL,FK00028
UK003,Unknown,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,28,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,HYD -> DEL,2026-04-21 02:19:41.700,278.0,True,VALID,ANOMALY,FK00029
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,29,[],True,VALID,[],False,OK,HYD -> MAA,2026-04-20 23:44:41.701,126.0,False,VALID,NORMAL,FK00030
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,30,[],True,VALID,[],False,OK,DEL -> HYD,2026-04-20 22:16:41.703,40.0,False,VALID,NORMAL,FK00031
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,31,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-21 01:02:41.701,206.0,True,VALID,NORMAL,FK00032
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,02:00:00.298000,32,[],True,VALID,[],False,OK,HYD -> MAA,2026-04-20 23:20:42.000,120.00496666666666,False,VALID,NORMAL,FK00033
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00,33,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-21 00:32:41.703,207.0,True,VALID,NORMAL,FK00034
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00,34,[],True,VALID,[],False,OK,CCU -> DEL,2026-04-20 22:45:41.703,111.0,False,VALID,NORMAL,FK00035
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00,35,[],True,VALID,[],False,OK,BOM -> MAA,2026-04-20 22:10:41.703,76.0,False,VALID,NORMAL,FK00036
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00,36,[],True,VALID,[],False,OK,HYD -> BOM,2026-04-20 21:21:41.701,37.0,False,VALID,NORMAL,FK00037
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00,37,[],True,VALID,[],False,OK,HYD -> BOM,2026-04-21 01:19:41.703,278.0,True,VALID,NORMAL,FK00038
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00,38,[],True,VALID,[],False,OK,DEL -> CCU,2026-04-20 22:00:41.702,83.0,False,VALID,NORMAL,FK00039
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00,39,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-20 23:54:41.704,199.0,False,VALID,NORMAL,FK00040
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00,40,[],True,VALID,[],False,OK,HYD -> MAA,2026-04-20 22:10:41.701,97.0,False,VALID,NORMAL,FK00041
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00,41,[],True,VALID,[],False,OK,BOM -> MAA,2026-04-21 01:15:41.700,287.0,True,VALID,NORMAL,FK00042
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00,42,[],True,VALID,[],False,OK,CCU -> DEL,2026-04-21 00:26:41.701,240.0,True,VALID,NORMAL,FK00043
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00,43,[],True,VALID,[],False,OK,MAA -> HYD,2026-04-20 21:00:41.702,37.0,False,VALID,NORMAL,FK00044
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00,44,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-20 21:57:41.703,98.0,False,VALID,NORMAL,FK00045
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00,45,[],True,VALID,[],False,OK,CCU -> HYD,2026-04-20 23:02:41.703,166.0,False,VALID,NORMAL,FK00046
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00,46,[],True,VALID,[],False,OK,BOM -> MAA,2026-04-20 21:00:41.702,50.0,False,VALID,NORMAL,FK00047
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00,47,[],True,VALID,[],False,OK,DEL -> HYD,2026-04-20 23:39:41.703,210.0,False,VALID,NORMAL,FK00048
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00,48,[],True,VALID,[],False,OK,DEL -> MAA,2026-04-21 00:36:41.703,274.0,True,VALID,NORMAL,FK00049
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00,49,[],True,VALID,[],False,OK,MAA -> CCU,2026-04-20 20:32:41.701,42.0,False,VALID,NORMAL,FK00050
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00,50,[],True,VALID,[],False,OK,HYD -> CCU,2026-04-20 21:49:41.701,120.0,False,VALID,NORMAL,FK00051
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00,51,[],True,VALID,[],False,OK,CCU -> BLR,2026-04-21 00:12:41.701,264.0,True,VALID,NORMAL,FK00052
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00,52,[],True,VALID,[],False,OK,MAA -> BLR,2026-04-20 20:30:41.703,45.0,False,VALID,NORMAL,FK00053
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00,53,[],True,VALID,[],False,OK,CCU -> HYD,2026-04-20 22:04:41.703,140.0,False,VALID,NORMAL,FK00054
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00,54,[],True,VALID,[],False,OK,MAA -> BLR,2026-04-20 21:00:41.703,83.0,False,VALID,NORMAL,FK00055
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00,55,[],True,VALID,[],False,OK,MAA -> BLR,2026-04-21 00:26:41.702,289.0,True,VALID,NORMAL,FK00056
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00,56,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 21:41:41.702,129.0,False,VALID,NORMAL,FK00057
UK209,Unknown,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00,57,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,MAA -> BLR,2026-04-20 21:47:41.704,165.0,False,VALID,ANOMALY,FK00058
SJ043,Unknown,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00,58,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,MAA -> DEL,2026-04-20 21:08:41.701,129.0,False,VALID,ANOMALY,FK00059
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00,59,[],True,VALID,[],False,OK,HYD -> BLR,2026-04-20 22:49:41.703,248.0,False,VALID,NORMAL,FK00060
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00,60,[],True,VALID,[],False,OK,MAA -> HYD,2026-04-20 21:47:41.704,194.0,False,VALID,NORMAL,FK00061
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,00:30:00,61,[],True,VALID,[],False,OK,DEL -> CCU,2026-04-20 19:01:41.703,30.0,False,VALID,NORMAL,FK00062
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00,62,[],True,VALID,[],False,OK,BOM -> HYD,2026-04-20 20:41:41.703,131.0,False,VALID,NORMAL,FK00063
6F270,Unknown,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,00:48:00,63,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,HYD -> MAA,2026-04-20 19:02:41.701,48.0,False,VALID,ANOMALY,FK00064
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00,64,[],True,VALID,[],False,OK,CCU -> HYD,2026-04-20 21:31:41.701,205.0,False,VALID,NORMAL,FK00065
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00,65,[],True,VALID,[],False,OK,MAA -> BOM,2026-04-20 22:02:41.704,239.0,False,VALID,NORMAL,FK00066
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00,66,[],True,VALID,[],False,OK,BLR -> CCU,2026-04-20 20:42:41.703,165.0,False,VALID,NORMAL,FK00067
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,00:34:00,67,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-20 18:30:41.700,34.0,False,VALID,NORMAL,FK00068
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00,68,[],True,VALID,[],False,OK,MAA -> HYD,2026-04-20 20:40:41.701,167.0,False,VALID,NORMAL,FK00069
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,02:12:00,69,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-20 19:50:41.704,132.0,False,VALID,NORMAL,FK00070
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,01:29:00,70,[],True,VALID,[],False,OK,HYD -> CCU,2026-04-20 19:02:41.702,89.0,False,VALID,NORMAL,FK00071
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,01:42:00,71,[],True,VALID,[],False,OK,HYD -> MAA,2026-04-20 19:09:41.701,102.0,False,VALID,NORMAL,FK00072
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,02:49:00,72,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-20 20:13:41.703,169.0,False,VALID,NORMAL,FK00073
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,01:47:00,73,[],True,VALID,[],False,OK,CCU -> HYD,2026-04-20 19:08:41.703,107.0,False,VALID,NORMAL,FK00074
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,01:26:00,74,[],True,VALID,[],False,OK,BOM -> HYD,2026-04-20 18:43:41.701,86.0,False,VALID,NORMAL,FK00075
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00,75,[],True,VALID,[],False,OK,MAA -> BLR,2026-04-20 21:22:41.703,256.0,False,VALID,NORMAL,FK00076
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,01:49:00,76,[],True,VALID,[],False,OK,BOM -> BLR,2026-04-20 18:53:41.702,109.0,False,VALID,NORMAL,FK00077
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00,77,[],True,VALID,[],False,OK,CCU -> HYD,2026-04-20 20:53:41.703,241.0,False,VALID,NORMAL,FK00078
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,01:50:00,78,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 18:42:41.703,110.0,False,VALID,NORMAL,FK00079
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,02:43:00,79,[],True,VALID,[],False,OK,HYD -> DEL,2026-04-20 19:31:41.701,163.0,False,VALID,NORMAL,FK00080
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,02:42:00,80,[],True,VALID,[],False,OK,MAA -> DEL,2026-04-20 19:26:41.703,162.0,False,VALID,NORMAL,FK00081
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,01:57:00,81,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-20 18:41:41.702,117.0,False,VALID,NORMAL,FK00082
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,02:04:00,82,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 18:48:41.701,124.0,False,VALID,NORMAL,FK00083
AI242,Unknown,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,83,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,BLR -> CCU,2026-04-20 17:43:41.704,62.0,False,VALID,ANOMALY,FK00084
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,02:28:00,85,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-20 19:00:41.704,148.0,False,VALID,NORMAL,FK00085
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,01:58:00,86,[],True,VALID,[],False,OK,BOM -> CCU,2026-04-20 18:27:41.703,118.0,False,VALID,NORMAL,FK00086
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,01:12:00,87,[],True,VALID,[],False,OK,DEL -> BOM,2026-04-20 17:41:41.701,72.0,False,VALID,NORMAL,FK00087
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,01:41:00,88,[],True,VALID,[],False,OK,BLR -> MAA,2026-04-20 18:09:41.701,101.0,False,VALID,NORMAL,FK00088
UK224,Unknown,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00,89,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,CCU -> MAA,2026-04-20 20:24:41.704,239.0,False,VALID,ANOMALY,FK00089
UK077,Unknown,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,01:38:00,90,[],True,VALID,[],False,IMPUTED_UNKNOWN_AIRLINE,HYD -> BOM,2026-04-20 18:00:41.702,98.0,False,VALID,ANOMALY,FK00090
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,01:15:00,91,[],True,VALID,[],False,OK,MAA -> CCU,2026-04-20 17:36:41.703,75.0,False,VALID,NORMAL,FK00091
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,02:36:00,92,[],True,VALID,[],False,OK,MAA -> HYD,2026-04-20 18:54:41.703,156.0,False,VALID,NORMAL,FK00092
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,01:00:00.298000,93,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 17:06:42.000,60.00496666666666,False,VALID,NORMAL,FK00093
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,04:12:00,94,[],True,VALID,[],False,OK,BOM -> HYD,2026-04-20 19:50:41.702,252.0,False,VALID,NORMAL,FK00094
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,00:58:00,95,[],True,VALID,[],False,OK,BLR -> CCU,2026-04-20 16:32:41.702,58.0,False,VALID,NORMAL,FK00095
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,04:06:00,96,[],True,VALID,[],False,OK,BOM -> DEL,2026-04-20 19:39:41.702,246.0,False,VALID,NORMAL,FK00096
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,03:30:00,97,[],True,VALID,[],False,OK,BOM -> HYD,2026-04-20 19:03:41.702,210.0,False,VALID,NORMAL,FK00097
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,01:17:00,98,[],True,VALID,[],False,OK,BLR -> BOM,2026-04-20 16:49:41.702,77.0,False,VALID,NORMAL,FK00098
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,01:46:00,99,[],True,VALID,[],False,OK,DEL -> HYD,2026-04-20 17:12:41.702,106.0,False,VALID,NORMAL,FK00099
