flight_id,airline,source,destination,departure_time,arrival_time,duration
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,03:27:00
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,01:51:00
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,01:16:00
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,00:37:00
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,04:38:00
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,01:23:00
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,03:19:00
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,01:37:00
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,04:47:00
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,04:00:00
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,00:37:00
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,01:38:00
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,02:46:00
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,00:50:00
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,03:30:00
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,04:34:00
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,00:42:00
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,02:00:00
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,04:24:00
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,00:45:00
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,02:20:00
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,01:23:00
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,04:49:00
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,02:09:00
UK209,,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,02:45:00
SJ043,UNKNOWN,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,02:09:00
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,04:08:00
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,03:14:00
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,00:30:00
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,02:11:00
6F270,,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,00:48:00
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,03:25:00
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,03:59:00
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,02:45:00
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,00:34:00
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,02:47:00
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,02:12:00
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,01:29:00
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,01:42:00
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,02:49:00
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,01:47:00
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,01:26:00
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,04:16:00
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,01:49:00
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,04:01:00
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,01:50:00
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,02:43:00
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,02:42:00
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,01:57:00
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,02:04:00
AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00
AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,02:28:00
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,01:58:00
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,01:12:00
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,01:41:00
UK224,,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,03:59:00
UK077,UNKNOWN,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,01:38:00
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,01:15:00
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,02:36:00
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,01:00:00.298000
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,04:12:00
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,00:58:00
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,04:06:00
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,03:30:00
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,01:17:00
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,01:46:00
